ID,Severity,Start_Lat,Start_Lng,StartTime,EndTime,Distance(mi),DelayFromTypicalTraffic(mins),DelayFromFreeFlowSpeed(mins),Congestion_Speed,Description,Street,City,County,State,Country,ZipCode,LocalTimeZone,WeatherStation_AirportCode,WeatherTimeStamp,Temperature(F),Humidity(%),Pressure(in),Visibility(mi),Precipitation(in),Weather_Event,Weather_Conditions,Duration(mins),StartHour,StartDayOfWeek,IsWeekend,Weather_Encoded
C-7162,2,39.86364,-75.34938000000002,2020-11-10 21:16:00+00:00,2020-11-10 21:59:53+00:00,2.619999885559082,2.0,4.0,Moderate,Delays of four minutes on I-95 Southbound between Exit 8 Stewart Ave and Exit 6 Chestnut St. Average speed 15 mph.,I-95 S,Chester,Delaware,PA,US,19013,US/Eastern,KPHL,2020-11-10T15:54:00.000-05:00,74.0,55.0,30.12,10.0,0.0,,Partly Cloudy,43.88333333333333,21,1,0,109
C-7163,1,39.922874,-75.317032,2020-11-10 21:15:00+00:00,2020-11-10 22:11:52+00:00,3.4800000190734863,0.0,5.0,Moderate,Delays of five minutes and delays increasing on Baltimore Pike Eastbound in Primos. Average speed 15 mph.,Baltimore Pike,Springfield,Delaware,PA,US,19064-3630,US/Eastern,KPHL,2020-11-10T15:54:00.000-05:00,74.0,55.0,30.12,10.0,0.0,,Partly Cloudy,56.86666666666667,21,1,0,109
C-7164,1,39.952042,-75.185699,2020-11-10 21:15:00+00:00,2020-11-10 21:59:53+00:00,2.1700000762939453,0.0,5.0,Slow,Delays of five minutes on Walnut St Westbound in University City. Average speed ten mph.,S 31st St,Philadelphia,Philadelphia,PA,US,19104-3454,US/Eastern,KPHL,2020-11-10T15:54:00.000-05:00,74.0,55.0,30.12,10.0,0.0,,Partly Cloudy,44.88333333333333,21,1,0,109
C-7165,2,39.96233400000001,-75.262672,2020-11-10 21:15:00+00:00,2020-11-10 22:28:05+00:00,7.260000228881836,2.0,11.0,Moderate,Severe delays of eleven minutes and delays easing on PA-3 West Chester Pike Westbound between Woodland Ave and Brief Ave. Average speed 15 mph.,W Chester Pike,Upper Darby,Delaware,PA,US,19082-1705,US/Eastern,KPHL,2020-11-10T15:54:00.000-05:00,74.0,55.0,30.12,10.0,0.0,,Partly Cloudy,73.08333333333333,21,1,0,109
C-7166,1,40.00369600000001,-75.181206,2020-11-10 21:14:00+00:00,2020-11-10 21:57:10+00:00,3.5799999237060547,0.0,5.0,Moderate,Delays of five minutes on Hunting Park Ave Westbound between Hunting Park Ave and US-13 Hunting Park Ave. Average speed 15 mph.,W Clearfield St,Philadelphia,Philadelphia,PA,US,19132,US/Eastern,KPHL,2020-11-10T15:54:00.000-05:00,74.0,55.0,30.12,10.0,0.0,,Partly Cloudy,43.166666666666664,21,1,0,109
C-7167,0,40.023983,-75.132889,2020-11-10 21:05:00+00:00,2020-11-10 21:59:10+00:00,1.4700000286102295,0.0,2.0,Moderate,Delays of two minutes and delays increasing on US-1 Roosevelt Blvd Westbound between US-1 Roosevelt Blvd / Roosevelt Blvd and Wyoming Ave. Average speed 15 mph.,W Roosevelt Blvd,Philadelphia,Philadelphia,PA,US,19120,US/Eastern,KPNE,2020-11-10T15:54:00.000-05:00,75.0,55.0,30.01,10.0,0.0,,Fair,54.166666666666664,21,1,0,19
C-7168,1,40.029613,-75.055977,2020-11-10 21:15:00+00:00,2020-11-10 22:27:02+00:00,3.660000085830689,1.0,6.0,Moderate,Delays of six minutes and delays easing on US-13 Frankford Ave Westbound between US-13 Frankford Ave and Hellerman St. Average speed ten mph.,Frankford Ave,Philadelphia,Philadelphia,PA,US,19135-2507,US/Eastern,KPNE,2020-11-10T15:54:00.000-05:00,75.0,55.0,30.01,10.0,0.0,,Fair,72.03333333333333,21,1,0,19
C-7169,0,40.029011,-75.21057900000002,2020-11-10 21:16:00+00:00,2020-11-10 21:57:10+00:00,2.4200000762939453,0.0,3.0,Moderate,Delays of three minutes on Ridge Ave Southbound between Ridge Ave and Rector St. Average speed 15 mph.,Ridge Ave,Philadelphia,Philadelphia,PA,US,19128-1737,US/Eastern,KLOM,2020-11-10T16:15:00.000-05:00,71.0,62.0,29.8,10.0,0.0,,Fair,41.166666666666664,21,1,0,19
C-7170,0,40.04047,-75.03083000000002,2020-11-10 21:15:00+00:00,2020-11-10 21:57:10+00:00,1.440000057220459,0.0,2.0,Moderate,Delays of two minutes on US-13 Frankford Ave Westbound in Holmesburg. Average speed 15 mph.,Hartel Ave,Philadelphia,Philadelphia,PA,US,19136-3112,US/Eastern,KPNE,2020-11-10T15:54:00.000-05:00,75.0,55.0,30.01,10.0,0.0,,Fair,42.166666666666664,21,1,0,19
C-7171,0,40.076717,-75.10985600000002,2020-11-10 20:59:00+00:00,2020-11-10 22:04:02+00:00,2.539999961853028,1.0,3.0,Moderate,Delays of three minutes on PA-73 Township Line Rd Eastbound between PA-73 Washington Ln and Thomson Rd. Average speed 15 mph.,Township Line Rd,Elkins Park,Montgomery,PA,US,19027-1759,US/Eastern,KPNE,2020-11-10T15:54:00.000-05:00,75.0,55.0,30.01,10.0,0.0,,Fair,65.03333333333333,20,1,0,19
C-7172,0,40.32708,-75.621941,2020-11-10 21:15:00+00:00,2020-11-10 21:57:10+00:00,1.9299999475479128,1.0,2.0,Fast,Delays of two minutes on PA-73 Philadelphia Ave Eastbound between Terrace St and PA-73 Philadelphia Ave. Average speed 15 mph.,E Philadelphia Ave,Gilbertsville,Montgomery,PA,US,19525,US/Eastern,KPTW,2020-11-10T15:54:00.000-05:00,73.0,53.0,29.81,10.0,0.0,,Partly Cloudy,42.166666666666664,21,1,0,109
C-7173,1,40.612072,-74.010597,2020-11-10 21:17:00+00:00,2020-11-10 21:57:22+00:00,3.3399999141693115,0.0,8.0,Slow,Delays of eight minutes on 86th St Westbound between 9th St and Bay 7th St. Average speed ten mph.,86th St,Brooklyn,Kings,NY,US,11228-3407,US/Eastern,KJRB,2020-11-10T15:51:00.000-05:00,73.0,57.0,30.03,10.0,0.0,,Partly Cloudy,40.36666666666667,21,1,0,109
C-7174,0,40.615921,-73.91313199999998,2020-11-10 21:16:00+00:00,2020-11-10 21:56:22+00:00,0.9499999880790708,0.0,1.0,Slow,Delays of one minute on Avenue U Westbound in Mill Basin. Average speed ten mph.,E 63rd St,Brooklyn,Kings,NY,US,11234-6301,US/Eastern,KJRB,2020-11-10T15:51:00.000-05:00,73.0,57.0,30.03,10.0,0.0,,Partly Cloudy,40.36666666666667,21,1,0,109
C-7175,0,40.621017,-74.023613,2020-11-10 21:16:00+00:00,2020-11-10 21:57:22+00:00,1.4099999666213991,0.0,2.0,Slow,Delays of two minutes on Fort Hamilton Pkwy Eastbound between General Lee Ave and 84th St. Average speed ten mph.,Fort Hamilton Pkwy,Brooklyn,Kings,NY,US,11209-4806,US/Eastern,KJRB,2020-11-10T15:51:00.000-05:00,73.0,57.0,30.03,10.0,0.0,,Partly Cloudy,41.36666666666667,21,1,0,109
C-7176,1,40.622334,-73.986946,2020-11-10 21:15:00+00:00,2020-11-10 21:55:29+00:00,3.0799999237060547,0.0,6.0,Slow,Delays of six minutes on 18th Ave Northbound between Shore Pkwy and 59th St. Average speed ten mph.,18th Ave,Brooklyn,Kings,NY,US,11204-2201,US/Eastern,KJRB,2020-11-10T15:51:00.000-05:00,73.0,57.0,30.03,10.0,0.0,,Partly Cloudy,40.483333333333334,21,1,0,109
C-7177,0,40.643692,-73.900627,2020-11-10 21:12:00+00:00,2020-11-10 21:55:29+00:00,2.8399999141693115,0.0,4.0,Moderate,Delays of four minutes on Flatlands Ave Eastbound between 52nd St and 98th St. Average speed 15 mph.,Flatlands Ave,Brooklyn,Kings,NY,US,11236-3712,US/Eastern,KJFK,2020-11-10T15:51:00.000-05:00,65.0,81.0,30.14,10.0,0.0,,Partly Cloudy,43.483333333333334,21,1,0,109
C-7178,2,40.644451,-73.97429699999998,2020-11-10 21:10:00+00:00,2020-11-10 21:57:22+00:00,7.789999961853027,0.0,11.0,Moderate,Severe delays of eleven minutes and delays increasing on Ocean Pkwy Northbound between Surf Ave and NY-27 Church Ave. Average speed 15 mph.,Ocean Pkwy,Brooklyn,Kings,NY,US,11218,US/Eastern,KJRB,2020-11-10T15:51:00.000-05:00,73.0,57.0,30.03,10.0,0.0,,Partly Cloudy,47.36666666666667,21,1,0,109
C-7179,0,40.651455,-73.686127,2020-11-10 21:08:00+00:00,2020-11-10 21:57:22+00:00,3.640000104904175,2.0,4.0,Moderate,Delays of four minutes and delays increasing on Peninsula Blvd Westbound between Lakeview Ave and Linden Ave. Average speed 15 mph.,Northumberland Gate,Lynbrook,Nassau,NY,US,11563-3109,US/Eastern,KJFK,2020-11-10T15:51:00.000-05:00,65.0,81.0,30.14,10.0,0.0,,Partly Cloudy,49.36666666666667,21,1,0,109
C-7180,0,40.665306,-73.875168,2020-11-10 21:17:00+00:00,2020-11-10 22:14:22+00:00,1.6200000047683716,0.0,3.0,Slow,Delays of three minutes and delays easing on RT-27 Westbound in East New York. Average speed ten mph.,Atkins Ave,Brooklyn,Kings,NY,US,11208-5202,US/Eastern,KJFK,2020-11-10T15:51:00.000-05:00,65.0,81.0,30.14,10.0,0.0,,Partly Cloudy,57.36666666666667,21,1,0,109
C-7181,0,40.665379,-73.72715,2020-11-10 21:15:00+00:00,2020-11-10 21:56:22+00:00,1.2799999713897705,0.0,1.0,Moderate,Delays of one minute on RT-27 Eastbound between NY-27 Conduit Ave and NY-27 Sunrise Hwy. Average speed 15 mph.,W Sunrise Hwy,Valley Stream,Nassau,NY,US,11581,US/Eastern,KJFK,2020-11-10T15:51:00.000-05:00,65.0,81.0,30.14,10.0,0.0,,Partly Cloudy,41.36666666666667,21,1,0,109
C-7182,0,40.668514,-73.75664499999998,2020-11-10 21:17:00+00:00,2020-11-10 21:57:22+00:00,1.2899999618530271,0.0,2.0,Slow,Delays of two minutes on Springfield Blvd Northbound between 149 Ave and 143rd Ave. Average speed ten mph.,143rd Ave,Springfield Gardens,Queens,NY,US,11413,US/Eastern,KJFK,2020-11-10T15:51:00.000-05:00,65.0,81.0,30.14,10.0,0.0,,Partly Cloudy,40.36666666666667,21,1,0,109
C-7183,0,40.672729,-73.78666700000002,2020-11-10 21:16:00+00:00,2020-11-10 22:00:19+00:00,2.490000009536743,0.0,2.0,Moderate,Delays of two minutes on Rockaway Blvd Eastbound in South Jamaica. Average speed 15 mph.,Rockaway Blvd,Jamaica,Queens,NY,US,11434,US/Eastern,KJFK,2020-11-10T15:51:00.000-05:00,65.0,81.0,30.14,10.0,0.0,,Partly Cloudy,44.31666666666667,21,1,0,109
C-7184,0,40.67807,-73.944138,2020-11-10 21:17:00+00:00,2020-11-10 21:57:22+00:00,1.2599999904632568,0.0,1.0,Moderate,Delays of one minute on Atlantic Ave Eastbound between Classon Ave and Kingston Ave. Average speed 15 mph.,Brooklyn Ave,Brooklyn,Kings,NY,US,11216-3411,US/Eastern,KJRB,2020-11-10T15:51:00.000-05:00,73.0,57.0,30.03,10.0,0.0,,Partly Cloudy,40.36666666666667,21,1,0,109
C-7185,1,40.686096,-73.965401,2020-11-10 21:17:00+00:00,2020-11-10 21:57:22+00:00,2.6700000762939453,0.0,5.0,Slow,Delays of five minutes on Washington Ave Southbound between Division Ave and Gates Ave. Average speed ten mph.,Washington Ave,Brooklyn,Kings,NY,US,11238-1804,US/Eastern,KJRB,2020-11-10T15:51:00.000-05:00,73.0,57.0,30.03,10.0,0.0,,Partly Cloudy,40.36666666666667,21,1,0,109
C-7186,1,40.691212,-73.58638,2020-11-10 21:03:00+00:00,2020-11-10 22:19:28+00:00,1.2799999713897705,1.0,2.0,Moderate,Delays of two minutes and delays easing on Southern Pkwy Westbound between Exits 22N 22S Meadowbrook Pkwy Exits M6 E M6 W and Exit 21 Brookside Ave. Average speed 15 mph.,Southern State Pkwy W,Roosevelt,Nassau,NY,US,11575,US/Eastern,KFRG,2020-11-10T15:53:00.000-05:00,67.0,73.0,30.06,10.0,0.0,,Fair,76.46666666666667,21,1,0,19
C-7187,2,40.696369,-73.837891,2020-11-10 21:17:00+00:00,2020-11-10 22:15:18+00:00,9.739999771118164,3.0,23.0,Slow,Severe delays of 23 minutes and delays easing on Jamaica Ave Westbound between 224th St and 110th St. Average speed ten mph.,Jamaica Ave,Richmond Hill,Queens,NY,US,11418-2320,US/Eastern,KJFK,2020-11-10T15:51:00.000-05:00,65.0,81.0,30.14,10.0,0.0,,Partly Cloudy,58.3,21,1,0,109
C-7188,0,40.697861,-73.742981,2020-11-10 21:17:00+00:00,2020-11-10 21:57:22+00:00,1.100000023841858,0.0,1.0,Moderate,Delays of one minute on Springfield Blvd Northbound between Springfield Blvd and 116th Ave. Average speed ten mph.,116th Ave,Cambria Heights,Queens,NY,US,11411,US/Eastern,KJFK,2020-11-10T15:51:00.000-05:00,65.0,81.0,30.14,10.0,0.0,,Partly Cloudy,40.36666666666667,21,1,0,109
C-7189,3,40.701931,-73.487503,2020-11-10 21:14:00+00:00,2020-11-10 23:02:19+00:00,7.039999961853027,13.0,15.0,Moderate,Severe delays of 15 minutes and delays increasing on Southern Pkwy Westbound between Exits 33 34 NY-109 Farmingdale Rd and Exits 28A N 28A S NY-135 Exits 4E 4W. Average speed 15 mph.,Southern State Pkwy W,Seaford,Nassau,NY,US,11783,US/Eastern,KFRG,2020-11-10T15:53:00.000-05:00,67.0,73.0,30.06,10.0,0.0,,Fair,108.31666666666666,21,1,0,19
C-7190,0,40.704731,-73.817497,2020-11-10 20:58:00+00:00,2020-11-10 21:57:22+00:00,0.0,0.0,1.0,Slow,Delays of one minute and delays easing on Main St Southbound near I-678 Exits 6 8. Average speed ten mph.,Van Wyck Expy S,Jamaica,Queens,NY,US,11435,US/Eastern,KJFK,2020-11-10T15:51:00.000-05:00,65.0,81.0,30.14,10.0,0.0,,Partly Cloudy,59.36666666666667,20,1,0,109
C-7191,1,40.70507,-73.65029100000002,2020-11-10 21:17:00+00:00,2020-11-10 21:57:22+00:00,3.950000047683716,1.0,7.0,Moderate,Delays of seven minutes on RT-24 Westbound in West Hempstead. Average speed 15 mph.,Hempstead Tpke,West Hempstead,Nassau,NY,US,11552-1455,US/Eastern,KJFK,2020-11-10T15:51:00.000-05:00,65.0,81.0,30.14,10.0,0.0,,Partly Cloudy,40.36666666666667,21,1,0,109
C-7192,2,40.705585,-73.958855,2020-11-10 21:15:00+00:00,2020-11-10 21:55:28+00:00,4.139999866485597,0.0,7.0,Moderate,Delays of seven minutes on I-278 Brooklyn Queens Expy Westbound between Exits 35 35A-B I-495 Exits 15 16 17W 17W-E 18 and Exit 31 Williamsburg St. Average speed 15 mph.,Brooklyn Queens Expy,Brooklyn,Kings,NY,US,11211,US/Eastern,KJRB,2020-11-10T15:51:00.000-05:00,73.0,57.0,30.03,10.0,0.0,,Partly Cloudy,40.46666666666667,21,1,0,109
C-7193,0,40.711689,-73.729607,2020-11-10 21:17:00+00:00,2020-11-10 21:57:22+00:00,1.5299999713897705,0.0,2.0,Slow,Delays of two minutes on RT-24 Eastbound between NY-24 Jamaica Ave and NY-24 Hempstead Ave. Average speed ten mph.,Hempstead Ave,Queens Village,Queens,NY,US,11429,US/Eastern,KJFK,2020-11-10T15:51:00.000-05:00,65.0,81.0,30.14,10.0,0.0,,Partly Cloudy,40.36666666666667,21,1,0,109
C-7194,0,40.714481,-73.816399,2020-11-10 21:09:00+00:00,2020-11-10 21:57:22+00:00,0.959999978542328,0.0,1.0,Moderate,Delays of one minute and delays easing on Main St Southbound between 76th Ave and Hoover Ave. Average speed ten mph.,Lander St,Jamaica,Queens,NY,US,11435,US/Eastern,KJFK,2020-11-10T15:51:00.000-05:00,65.0,81.0,30.14,10.0,0.0,,Partly Cloudy,48.36666666666667,21,1,0,109
C-7195,0,40.724941,-73.549316,2020-11-10 21:15:00+00:00,2020-11-10 22:25:23+00:00,1.2899999618530271,0.0,2.0,Moderate,Delays of two minutes on RT-24 Eastbound in East Meadow. Average speed 15 mph.,Hempstead Tpke,East Meadow,Nassau,NY,US,11554-2030,US/Eastern,KFRG,2020-11-10T15:53:00.000-05:00,67.0,73.0,30.06,10.0,0.0,,Fair,70.38333333333334,21,1,0,19
C-7196,1,40.69455,-74.10025,2020-11-10 21:15:00+00:00,2020-11-10 23:10:55+00:00,4.2199997901916495,3.0,6.0,Slow,Delays of six minutes and delays easing on CR-501 John F Kennedy Blvd Southbound between Fairmount Ave and 62nd St. Average speed ten mph.,John F Kennedy Blvd,Jersey City,Hudson,NJ,US,07305-1725,US/Eastern,KJRB,2020-11-10T15:51:00.000-05:00,73.0,57.0,30.03,10.0,0.0,,Partly Cloudy,115.91666666666667,21,1,0,109
C-7197,0,40.726299,-73.717377,2020-11-10 21:07:00+00:00,2020-11-10 21:59:19+00:00,1.100000023841858,0.0,2.0,Slow,Delays of two minutes and delays easing on RT-25 Westbound in Bellerose. Average speed ten mph.,Jericho Tpke,Bellerose,Queens,NY,US,11426-1912,US/Eastern,KJFK,2020-11-10T15:51:00.000-05:00,65.0,81.0,30.14,10.0,0.0,,Partly Cloudy,52.31666666666667,21,1,0,109
C-7198,1,40.729,-73.858681,2020-11-10 21:17:00+00:00,2020-11-10 21:57:22+00:00,2.9100000858306885,0.0,5.0,Slow,Delays of five minutes on Queens Blvd Westbound between Union Tpke and 64th Rd. Average speed ten mph.,Queens Blvd,Rego Park,Queens,NY,US,11374-3319,US/Eastern,KLGA,2020-11-10T15:51:00.000-05:00,73.0,57.0,30.1,10.0,0.0,,Partly Cloudy,40.36666666666667,21,1,0,109
C-7199,0,40.729481,-73.745476,2020-11-10 21:01:00+00:00,2020-11-10 21:57:22+00:00,1.8400000333786009,1.0,2.0,Moderate,Delays of two minutes and delays easing on RT-25 Westbound between Cross Island Pkwy and NY-25 Hillside Ave. Average speed 15 mph.,Hillside Ave,Queens Village,Queens,NY,US,11427-2018,US/Eastern,KJFK,2020-11-10T15:51:00.000-05:00,65.0,81.0,30.14,10.0,0.0,,Partly Cloudy,56.36666666666667,21,1,0,109
C-7200,0,40.732601,-73.447998,2020-11-10 21:16:00+00:00,2020-11-10 21:57:22+00:00,1.7300000190734863,0.0,2.0,Moderate,Delays of two minutes on RT-24 Westbound in Farmingdale. Average speed 15 mph.,Conklin St,Farmingdale,Nassau,NY,US,11735-2607,US/Eastern,KFRG,2020-11-10T15:53:00.000-05:00,67.0,73.0,30.06,10.0,0.0,,Fair,41.36666666666667,21,1,0,19
C-7201,1,40.74342,-74.05920400000002,2020-11-10 21:15:00+00:00,2020-11-10 22:01:52+00:00,4.230000019073486,0.0,7.0,Slow,Delays of seven minutes and delays increasing on CR-501 John F Kennedy Blvd Northbound between Morton Pl and Carlton Ave. Average speed ten mph.,John F Kennedy Blvd,Jersey City,Hudson,NJ,US,07306-3457,US/Eastern,KJRB,2020-11-10T15:51:00.000-05:00,73.0,57.0,30.03,10.0,0.0,,Partly Cloudy,46.86666666666667,21,1,0,109
C-7202,1,40.73597,-74.03873399999998,2020-11-10 20:04:00+00:00,2020-11-10 21:55:12+00:00,2.7300000190734863,0.0,7.0,Slow,Delays of seven minutes on Marin Blvd Northbound between Marin Blvd and CR-681 Observer Hwy. Average speed ten mph.,Luis Munoz Marin Blvd,Jersey City,Hudson,NJ,US,07310-1222,US/Eastern,KJRB,2020-11-10T14:51:00.000-05:00,74.0,55.0,30.03,10.0,0.0,,Mostly Cloudy,111.2,20,1,0,104
C-7203,1,40.73819,-73.825012,2020-11-10 20:48:00+00:00,2020-11-10 22:03:25+00:00,2.9800000190734863,0.0,5.0,Slow,Delays of five minutes and delays easing on Main St Southbound between NY-25A Northern Blvd and Gravett Rd. Average speed ten mph.,Main St,Flushing,Queens,NY,US,11367,US/Eastern,KLGA,2020-11-10T15:51:00.000-05:00,73.0,57.0,30.1,10.0,0.0,,Partly Cloudy,75.41666666666667,20,1,0,109
C-7204,1,40.74115,-73.66278100000002,2020-11-10 21:16:00+00:00,2020-11-10 21:56:22+00:00,3.109999895095825,2.0,5.0,Moderate,Delays of five minutes on RT-25 Eastbound in Garden City Park. Average speed 15 mph.,Jericho Tpke,New Hyde Park,Nassau,NY,US,11040-4709,US/Eastern,KJFK,2020-11-10T15:51:00.000-05:00,65.0,81.0,30.14,10.0,0.0,,Partly Cloudy,40.36666666666667,21,1,0,109
C-7205,1,40.751431,-73.673737,2020-11-10 21:14:00+00:00,2020-11-10 22:06:18+00:00,2.9600000381469727,2.0,5.0,Moderate,Delays of five minutes and delays increasing on Hillside Ave Eastbound in Hillside Manor. Average speed ten mph.,Hillside Ave,New Hyde Park,Nassau,NY,US,11040-2612,US/Eastern,KJFK,2020-11-10T15:51:00.000-05:00,65.0,81.0,30.14,10.0,0.0,,Partly Cloudy,52.3,21,1,0,109
C-7206,0,40.762905,-73.87509200000002,2020-11-10 20:58:00+00:00,2020-11-10 21:57:22+00:00,1.7599999904632568,2.0,3.0,Moderate,Delays of three minutes and delays increasing on Astoria Blvd Eastbound between Astoria Blvd and 95th St. Average speed ten mph.,Astoria Blvd,East Elmhurst,Queens,NY,US,11369-1534,US/Eastern,KLGA,2020-11-10T15:51:00.000-05:00,73.0,57.0,30.1,10.0,0.0,,Partly Cloudy,59.36666666666667,20,1,0,109
C-7207,0,40.765556,-73.931374,2020-11-10 21:16:00+00:00,2020-11-10 21:56:22+00:00,1.5399999618530271,0.0,3.0,Slow,Delays of three minutes on 21st St Southbound between 24th Ave and Broadway. Average speed ten mph.,21st St,Astoria,Queens,NY,US,11106-4520,US/Eastern,KNYC,2020-11-10T15:51:00.000-05:00,73.0,57.0,30.03,10.0,0.0,,Partly Cloudy,40.36666666666667,21,1,0,109
